Estatus,Area,edad_meses,antiguedad del caso,MUNICPIO_C_I,GENERO,Abogado
en juicio,maternal,1.609856262833675,4.191649555099247,chalco solidaridad,H,rene
en juicio,maternal,8.37782340862423,2.357289527720739,zumpango,M,rene
en juicio,maternal,36.76386036960986,0.5749486652977412,tlanepantla de baz,M,rene
en juicio,maternal,0.03285420944558522,4.336755646817249,toluca,H,rene
en juicio,maternal,26.57905544147844,2.053388090349076,naucalpan de juarez,H,rene
sin resolver,maternal,16.06570841889117,1.990417522245038,tecamac,M,rene
sin resolver,maternal,39.22792607802874,0.7255304585900069,toluca,M,rene
sin resolver,maternal,30.652977412731,0.7008898015058179,xonacatlan,M,rene
sin resolver,maternal,34.72689938398358,0.6105407255304586,ecatepec de morelos,H,rene
sin resolver,maternal,32.26283367556468,0.5667351129363449,toluca,H,rene
sin resolver,maternal,44.25462012320328,0.3942505133470226,tenango,H,rene
reintegracion,maternal,40.77207392197125,0.6050650239561944,cuautitlan izcalli,M,rene
canalizado colocar lugar,mediana,57.3305954825462,2.811772758384668,toluca,M,paola
reintegracion,mediana,41.49486652977413,5.642710472279261,toluca,M,paola
reintegracion,mediana,85.38809034907598,5.010266940451745,toluca,M,paola
reintegracion,mediana,67.05544147843943,4.887063655030801,chimalhuacan,M,paola
reintegracion,mediana,68.07392197125256,5.117043121149897,nezahualcoyotl,M,paola
reintegracion,mediana,75.26899383983573,5.475701574264202,toluca,M,paola
reintegracion,mediana,77.04312114989733,5.273100616016428,toluca,M,paola
reintegracion,mediana,64.8870636550308,4.539356605065024,toluca,H,paola
reintegracion,mediana,63.67145790554414,5.130732375085558,toluca,M,paola
reintegracion,mediana,90.18480492813141,3.701574264202601,huixquilucan,M,paola
reintegracion,mediana,71.85215605749487,3.822039698836413,ocoyoacac,M,paola
reintegracion,mediana,78.29158110882958,5.440109514031485,almoloya de alquisiras sultepec,M,paola
reintegracion,mediana,93.7659137577002,3.832991101984942,toluca,M,paola
reintegracion,mediana,80.55852156057495,3.832991101984942,toluca,M,paola
reintegracion,mediana,71.62217659137576,4.717316906228611,toluca,M,paola
reintegracion,mediana,48.8870636550308,3.195071868583162,ixtapaluca,M,paola
reintegracion,mediana,49.41273100616017,4.717316906228611,san mateo atenco,M,paola
reintegracion,mediana,83.97535934291581,3.033538672142368,nicolas romero,M,paola
reintegracion,mediana,64.98562628336755,2.387405886379192,chimalhuacan,M,paola
reintegracion,mediana,39.29363449691992,2.798083504449008,chimalhuacan,M,paola
reintegracion,mediana,69.91375770020534,2.127310061601643,cuautitlan izcalli,M,paola
reintegracion,mediana,70.11088295687884,2.083504449007529,huixquilucan,H,paola
reintegracion,mediana,71.39219712525667,1.683778234086242,xonacatlan,M,paola
reintegracion,mediana,55.75359342915812,1.319644079397673,honduras,M,paola
reintegracion,mediano,75.92607802874744,5.642710472279261,toluca,H,paola
reintegracion,mediano,81.3141683778234,4.955509924709103,nezahualcoyotl,H,paola
reintegracion,mediano,55.22792607802874,4.955509924709103,honduras,H,paola
reintegracion,mediano,39.58932238193019,5.051334702258726,texcoco,H,paola
reintegracion,mediano,58.84188911704312,4.654346338124572,toluca,H,paola
reintegracion,mediano,43.20328542094456,4.750171115674195,toluca,H,paola
reintegracion,mediano,83.64681724845997,4.750171115674195,toluca,H,paola
reintegracion,mediano,83.64681724845997,4.750171115674195,toluca,H,paola
reintegracion,mediano,60.58316221765914,5.475701574264202,tultitlan,H,paola
reintegracion,mediano,40.27926078028747,5.13347022587269,atizapan de zaragosa,H,paola
reintegracion,mediano,91.3347022587269,5.28952772073922,atlacomulco,H,paola
reintegracion,mediano,90.64476386036961,4.131416837782341,toluca,H,paola
reintegracion,mediano,76.8788501026694,4.210814510609172,capulhuac,H,paola
reintegracion,mediano,51.15400410677618,4.539356605065024,ecatepec de morelos,H,paola
reintegracion,mediano,70.04517453798768,4.172484599589322,toluca,H,paola
reintegracion,mediano,87.72073921971253,3.906913073237508,chalco solidaridad,H,paola
reintegracion,mediano,82.59548254620124,3.822039698836413,ecatepec de morelos,H,paola
reintegracion,mediano,84.27104722792609,2.548939082819986,metepec,H,paola
reintegracion,mediano,54.96509240246407,5.174537987679671,toluca,H,paola
reintegracion,mediano,41.19917864476386,5.111567419575633,toluca,H,paola
reintegracion,mediano,86.30800821355237,1.848049281314168,ixtapaluca,H,paola
reintegracion,mediano,59.72895277207392,1.765913757700205,toluca,H,paola
reintegracion,mediano,69.38809034907598,1.724845995893224,toluca,H,paola
reintegracion,mediano,89.23203285420945,2.127310061601643,toluca,H,paola
reintegracion,mediano,46.19301848049281,1.278576317590691,toluca,H,paola
reintegracion,mediano,85.28952772073922,0.7392197125256673,almoloya de juarez,H,paola
reintegracion,mediano,51.77823408624229,0.7392197125256673,almoloya de juarez,H,paola
reintegracion,mediano,43.26899383983573,1.319644079397673,toluca,H,paola
reintegracion,mediano,63.80287474332648,0.7282683093771389,toluca,H,paola
reintegracion,mediano,57.88911704312115,0.7501711156741958,toluca,H,david
reintegracion,mediana,66.13552361396304,0.7255304585900069,toluca,M,paola
reintegracion,mediana,57.92197125256673,0.1670088980150582,donato guerra,M,paola
adopcion,mediana,99.94250513347022,5.727583846680356,san mateo atenco,M,paola
adopcion,maternal,65.47843942505133,4.810403832991102,toluca,M,paola
adopcion,mediana,48.49281314168378,5.188227241615332,toluca,M,paola
adopcion,mediana,78.62012320328542,4.407939767282683,tultitlan,M,paola
adopcion,mediana,2.168377823408624,7.449691991786447,atizapan de zaragosa,M,paola
adopcion,mediana,38.07802874743327,4.917180013689254,atlacomulco,M,paola
adopcion,mediana,62.48870636550308,4.407939767282683,toluca,M,paola
adopcion,mediana,50.69404517453799,4.407939767282683,capulhuac,M,paola
adopcion,mediana,83.1211498973306,4.484599589322382,ecatepec de morelos,M,paola
adopcion,mediana,71.75359342915812,4.484599589322382,toluca,M,paola
adopcion,mediana,38.8993839835729,4.446269678302532,naucalpan de juarez,M,paola
adopcion,mediana,61.86447638603696,4.717316906228611,toluca,M,paola
adopcion,mediana,35.25256673511294,4.706365503080082,tultitlan,M,paola
adopcion,mediana,15.44147843942505,4.687200547570157,texcoco,M,paola
adopcion,mediana,29.17453798767967,4.815879534565366,toluca,M,paola
adopcion,mediana,64.68993839835728,3.329226557152635,ixtapaluca,M,paola
adopcion,mediana,24.2135523613963,5.325119780971937,ixtapaluca,M,paola
adopcion,mediana,149.4866529774127,1.048596851471595,lerma,M,paola
adopcion,mediana,42.94045174537987,6.803559206023272,zumpango,H,paola
adopcion,mediana,56.31211498973306,5.69472963723477,toluca,H,paola
adopcion,mediana,52.46817248459959,5.404517453798768,ecatepec de morelos,H,paola
adopcion,mediana,44.84599589322382,5.711156741957564,toluca,M,paola
adopcion,mediana,51.48254620123203,4.361396303901437,toluca,H,paola
adopcion,mediana,29.50308008213553,4.810403832991102,almoloya de juarez,M,paola
adopcion,mediana,47.57289527720739,4.427104722792608,almoloya de juarez,H,paola
adopcion,mediana,57.9876796714579,3.008898015058179,toluca,H,paola
adopcion,mediana,9.232032854209447,5.314168377823409,toluca,M,paola
adopcion,mediana,149.4866529774127,1.048596851471595,ocuilan,M,paola
adopcion,mediana,9.166324435318275,5.790554414784395,toluca,M,paola
adopcion,mediana,7.326488706365502,5.155373032169747,toluca,M,paola
adopcion,mediana,82.89117043121149,3.329226557152635,amecameca,H,paola
adopcion,mediana,42.74332648870637,4.596851471594798,tultitlan,M,paola
adopcion,mediana,41.46201232032854,5.357973990417523,atizapan de zaragosa,H,paola
adopcion,mediana,60.38603696098562,2.65845311430527,toluca,M,paola
adopcion,mediana,49.18275154004107,3.222450376454483,tepoztlan chalma,M,paola
situacion juridica resuelta,mediana,42.15195071868583,3.364818617385353,tlanepantla de baz,M,paola
situacion juridica resuelta,mediana,57.3305954825462,2.811772758384668,toluca,M,paola
situacion juridica resuelta,maternal,4.59958932238193,3.887748117727584,ecatepec de morelos,M,paola
situacion juridica resuelta,mediana,5.158110882956879,4.210814510609172,toluca,M,paola
en juicio,mediana,48.85420944558521,2.099931553730322,toluca,M,paola
en juicio,mediana,11.07186858316222,3.775496235455168,ecatepec de morelos,M,paola
en juicio,mediana,63.54004106776181,1.68104038329911,cuautitlan izcalli,M,paola
sin resolver,mediana,71.32648870636551,1.990417522245038,tecamac,M,paola
sin resolver,mediana,80.19712525667352,0.6105407255304586,ecatepec de morelos,M,paola
sin resolver,mediana,83.58110882956879,0.4572210814510609,toluca,M,paola
sin resolver,mediana,46.98151950718686,0.4572210814510609,toluca,M,paola
sin resolver,mediana,73.92197125256673,0.2600958247775496,lerma,M,paola
sin resolver,mediana,90.25051334702258,0.2217659137577002,tenancingo,M,paola
sin resolver,mediana,78.652977412731,0.134154688569473,toluca,M,paola
sin resolver,mediana,73.10061601642711,0.1286789869952088,toluca,M,paola
situacion juridica resuelta,mediano,26.34907597535934,4.386036960985626,acambay,H,paola
situacion juridica resuelta,mediano,22.27515400410677,5.226557152635182,metepec,H,paola
situacion juridica resuelta,mediano,35.25256673511294,3.832991101984942,toluca,H,paola
situacion juridica resuelta,mediano,16.32854209445585,3.964407939767283,toluca,H,paola
situacion juridica resuelta,mediano,0.9199178644763859,4.635181382614648,toluca,H,paola
situacion juridica resuelta,mediano,38.30800821355236,2.203969883641342,nextlalpan,H,paola
situacion juridica resuelta,mediano,53.02669404517454,0.3230663928815879,toluca,H,paola
situacion juridica resuelta,mediano,53.02669404517454,0.3230663928815879,toluca,H,paola
en juicio,mediano,56.50924024640658,3.425051334702259,texcoco,H,paola
en juicio,mediano,35.41683778234086,3.425051334702259,texcoco,H,paola
en juicio,mediano,23.39219712525667,3.047227926078029,tlanepantla de baz,H,paola
sin resolver,mediano,68.69815195071868,1.990417522245038,tecamac,H,paola
sin resolver,mediano,62.12731006160164,1.02943189596167,toluca,H,francisco
sin resolver,mediano,51.64681724845995,0.6105407255304586,ecatepec de morelos,H,paola
sin resolver,mediano,88.34496919917865,0.487337440109514,toluca,H,ariana
sin resolver,mediano,73.7905544147844,0.4736481861738535,toluca,H,paola
sin resolver,mediano,56.80492813141684,0.4572210814510609,toluca,H,paola
sin resolver,mediano,62.06160164271047,0.3942505133470226,tenango,H,paola
sin resolver,mediano,59.43326488706366,0.08487337440109514,nextlalpan,H,paola
reintegracion,intermedios,107.9917864476386,5.804243668720055,toluca,H,david
reintegracion,intermedios,94.71868583162218,6.184804928131417,toluca,H,david
reintegracion,intermedios,104.0164271047228,5.938398357289528,san martin de las piramidez,H,david
reintegracion,intermedios,127.3100616016427,5.557837097878165,toluca,H,david
reintegracion,intermedios,138.0862422997947,5.396303901437371,lerma,H,david
reintegracion,intermedios,136.9363449691992,5.44558521560575,toluca,H,david
reintegracion,intermedios,103.5564681724846,5.152635181382615,ixtlahuaca,H,david
reintegracion,intermedios,103.9507186858316,4.887063655030801,xonacatlan,H,david
reintegracion,intermedios,106.8418891170431,4.919917864476386,toluca,H,david
reintegracion,intermedios,89.92197125256673,5.13347022587269,atizapan de zaragosa,H,david
reintegracion,intermedios,125.5030800821355,4.626967830253252,zinacantepec,H,david
reintegracion,intermedios,105.82340862423,4.687200547570157,almoloya de juarez,H,david
reintegracion,intermedios,116.9281314168378,3.657768651608488,huixquilucan,H,david
reintegracion,intermedios,111.7371663244353,4.002737850787132,nezahualcoyotl,H,david
reintegracion,intermedios,97.28131416837782,3.268993839835729,chiautla,H,david
reintegracion,intermedios,123.8603696098563,2.910335386721424,nextlalpan,H,david
reintegracion,intermedios,96.72279260780286,2.945927446954141,apaxco,H,david
reintegracion,intermedios,125.8316221765914,2.387405886379192,xonacatlan,H,david
reintegracion,intermedios,144.0,2.083504449007529,tecamac,H,david
reintegracion,intermedios,144.0,2.083504449007529,tecamac,H,david
reintegracion,intermedios,95.21149897330595,3.540041067761807,toluca,H,david
reintegracion,intermedios,122.3162217659138,1.823408624229979,toluca,H,david
reintegracion,intermedios,5.388090349075975,2.127310061601643,toluca,H,david
reintegracion,intermedios,80.55852156057495,4.583162217659138,tecamac,H,david
canalizado colocar lugar,intermedios,103.0308008213552,8.062970568104038,donato guerra,H,david
canalizado colocar lugar,intermedios,95.73716632443532,6.781656399726215,jaltenco,H,david
canalizado colocar lugar,intermedios,80.19712525667352,6.781656399726215,tlanepantla de baz,H,david
canalizado colocar lugar,intermedios,106.1519507186858,6.64476386036961,coacalco de berriozabal,H,david
canalizado colocar lugar,intermedios,111.4086242299795,4.563997262149213,toluca,H,david
canalizado colocar lugar,intermedios,108.911704312115,5.574264202600959,ocoyoacac,H,david
canalizado colocar lugar,intermedios,116.2710472279261,5.204654346338125,metepec,H,david
canalizado colocar lugar,intermedios,84.86242299794661,7.767282683093772,zinacantepec,H,david
canalizado colocar lugar,intermedios,50.39835728952772,6.781656399726215,jaltenco,H,david
situacion juridica resuelta,intermedios,89.29774127310061,3.832991101984942,tenancingo,H,david
situacion juridica resuelta,intermedios,80.91991786447639,4.82135523613963,toluca,H,david
situacion juridica resuelta,intermedios,69.09240246406571,5.730321697467488,tlanepantla de baz,H,david
situacion juridica resuelta,intermedios,54.73511293634498,5.716632443531828,tenancingo,H,david
situacion juridica resuelta,intermedios,53.58521560574948,4.706365503080082,tlanepantla de baz,H,david
situacion juridica resuelta,intermedios,85.22381930184805,3.337440109514032,atizapan de zaragosa,H,david
situacion juridica resuelta,intermedios,53.42094455852155,4.386036960985626,atlacomulco,H,david
situacion juridica resuelta,intermedios,55.45790554414785,5.683778234086242,chimalhuacan,H,david
situacion juridica resuelta,intermedios,38.27515400410678,5.034907597535934,los reyes la paz,H,david
en juicio,intermedios,89.42915811088295,4.005475701574264,los reyes la paz,H,david
sin resolver,intermedios,101.6837782340862,3.337440109514032,nicolas romero,H,david
sin resolver,intermedios,115.6139630390144,1.352498288843258,toluca,H,david
sin resolver,intermedios,120.0164271047228,1.051334702258727,toluca,H,david
sin resolver,intermedios,129.6427104722792,0.999315537303217,capuluhac,H,david
sin resolver,intermedios,110.8172484599589,0.999315537303217,capuluhac,H,david
sin resolver,intermedios,115.482546201232,0.6707734428473648,ixtapaluca,H,david
sin resolver,intermedios,118.4722792607803,0.2217659137577002,tenancingo,H,david
reintegracion,intermedias,103.6550308008214,5.708418891170431,ecatepec de morelos,M,david
reintegracion,intermedias,103.2936344969199,5.125256673511293,almoloya de juarez,M,david
reintegracion,intermedias,109.3716632443532,5.013004791238878,toluca,M,david
reintegracion,intermedias,106.9075975359343,5.44558521560575,toluca,M,david
reintegracion,intermedias,131.5154004106776,4.955509924709103,toluca,M,david
reintegracion,intermedias,106.9404517453799,5.117043121149897,lerma,M,david
reintegracion,intermedias,114.0369609856263,4.616016427104722,zinacantepec,M,david
reintegracion,intermedias,110.9486652977413,4.265571526351814,toluca,M,david
reintegracion,intermedias,130.7597535934292,5.363449691991787,toluca,M,david
reintegracion,intermedias,102.4394250513347,5.363449691991787,toluca,M,david
reintegracion,intermedias,127.9671457905544,3.920602327173169,toluca,M,david
reintegracion,intermedias,104.6078028747433,3.657768651608488,huixquilucan,M,david
reintegracion,intermedias,123.2689938398357,3.600273785078713,tenancingo,M,david
reintegracion,intermedias,125.9958932238193,3.813826146475017,toluca,M,david
reintegracion,intermedias,101.9794661190965,4.271047227926078,tenancingo,M,david
reintegracion,intermedias,109.0431211498973,3.635865845311431,tlanepantla de baz,M,david
reintegracion,intermedias,100.9938398357289,5.574264202600959,naucalpan de juarez,M,david
reintegracion,intermedias,90.18480492813141,3.701574264202601,toluca,M,david
reintegracion,intermedias,108.3860369609856,2.127310061601643,toluca,M,david
reintegracion,intermedias,115.9425051334702,1.984941820670773,toluca,M,david
reintegracion,intermedias,84.96098562628336,2.951403148528405,tequixquiac,M,david
reintegracion,intermedias,93.96303901437372,2.855578370978782,toluca,M,david
reintegracion,intermedias,118.2094455852156,1.713894592744695,atenco,M,david
reintegracion,intermedias,126.9815195071868,0.7775496235455168,toluca,M,david
canalizado colocar lugar,intermedias,136.1478439425051,5.35523613963039,amecameca,M,david
canalizado colocar lugar,intermedias,113.0513347022587,5.319644079397673,cuautitlan izcalli,M,david
canalizado colocar lugar,intermedias,143.9014373716632,4.739219712525667,toluca,M,david
canalizado colocar lugar,intermedias,135.2607802874743,5.130732375085558,amecameca,M,david
canalizado colocar lugar,intermedias,101.0595482546201,4.826830937713894,toluca,M,david
canalizado colocar lugar,intermedias,137.9548254620123,4.687200547570157,toluca,M,david
canalizado colocar lugar,intermedias,99.05544147843942,6.113620807665982,naucalpan de juarez,M,david
canalizado colocar lugar,intermedias,122.4476386036961,3.794661190965092,toluca,M,david
canalizado colocar lugar,intermedias,130.4312114989733,3.794661190965092,toluca,M,david
canalizado colocar lugar,intermedias,126.5215605749487,3.794661190965092,toluca,M,david
canalizado colocar lugar,intermedias,119.4907597535934,3.794661190965092,toluca,M,david
canalizado colocar lugar,intermedias,140.8131416837782,3.271731690622861,toluca,M,david
canalizado colocar lugar,intermedias,124.2217659137577,4.692676249144422,cuautitlan izcalli,M,david
canalizado colocar lugar,intermedias,89.46201232032854,6.088980150581794,cuautitlan izcalli,M,david
canalizado colocar lugar,intermedias,87.45790554414785,6.088980150581794,cuautitlan izcalli,M,david
canalizado colocar lugar,intermedias,87.72073921971253,4.635181382614648,zinacantepec,M,david
canalizado colocar lugar,intermedias,95.24435318275154,4.878850102669404,zumpango,M,david
canalizado colocar lugar,intermedias,102.17659137577,2.737850787132101,los reyes la paz,M,david
canalizado colocar lugar,intermedias,80.82135523613964,5.207392197125257,toluca,M,david
canalizado colocar lugar,intermedias,79.96714579055441,4.41615331964408,toluca,M,david
canalizado colocar lugar,intermedias,79.96714579055441,4.41615331964408,toluca,M,david
situacion juridica resuelta,intermedias,118.8008213552361,2.198494182067077,ecatepec de morelos,M,david
situacion juridica resuelta,intermedias,85.97946611909651,1.911019849418207,toluca,M,david
situacion juridica resuelta,intermedias,80.82135523613964,2.45037645448323,ecatepec de morelos,M,david
en juicio,intermedias,50.46406570841889,7.753593429158111,ecatepec de morelos,M,david
en juicio,intermedias,68.76386036960986,2.759753593429158,toluca,M,david
en juicio,intermedias,122.5462012320328,2.357289527720739,zumpango,M,david
en juicio,mediana,81.67556468172485,1.352498288843258,toluca,M,paola
sin resolver,intermedias,52.50102669404517,5.023956194387406,toluca,M,david
sin resolver,intermedias,118.735112936345,1.152635181382615,toluca,M,david
sin resolver,intermedias,118.0780287474333,0.9911019849418207,tultitlan,M,david
sin resolver,intermedias,126.2915811088296,0.9911019849418207,tultitlan,M,david
sin resolver,intermedias,133.9137577002053,0.9911019849418207,tultitlan,M,david
sin resolver,intermedias,132.435318275154,0.9281314168377823,teoloyucan,M,david
sin resolver,intermedias,127.3100616016427,0.7939767282683093,toluca,M,david
sin resolver,intermedias,138.8090349075975,0.4736481861738535,toluca,M,david
sin resolver,intermedias,91.30184804928132,0.9911019849418207,tultitlan,M,david
reintegracion,ninas grandes,153.6262833675565,4.191649555099247,chalco solidaridad,M,ariana
canalizado colocar lugar,ninas grandes,202.1848049281314,5.47296372347707,tlanepantla de baz,M,ariana
canalizado colocar lugar,ninas grandes,84.0082135523614,5.47296372347707,toluca,M,ariana
canalizado colocar lugar,ninas grandes,216.0164271047228,5.47296372347707,toluca,M,ariana
canalizado colocar lugar,ninas grandes,212.3367556468173,5.13347022587269,atizapan de zaragosa,M,ariana
canalizado colocar lugar,ninas grandes,194.9240246406571,3.082819986310746,toluca,M,ariana
canalizado colocar lugar,ninas grandes,211.64681724846,0.9911019849418207,texcoco,M,ariana
egresos no autorizados,ninas grandes,184.5420944558522,5.316906228610541,toluca,M,ariana
egresos no autorizados,ninas grandes,170.4476386036961,5.286789869952088,toluca,M,ariana
egresos no autorizados,ninas grandes,195.5811088295688,4.982888432580425,toluca,M,ariana
egresos no autorizados,ninas grandes,196.1724845995893,4.97741273100616,toluca,M,ariana
egresos no autorizados,ninas grandes,210.8911704312115,4.955509924709103,toluca,M,ariana
egresos no autorizados,ninas grandes,206.5544147843943,4.153319644079398,toluca,H,ariana
egresos no autorizados,ninas grandes,208.8542094455852,4.030116358658453,toluca,M,ariana
egresos no autorizados,ninas grandes,139.6632443531828,3.964407939767283,toluca,M,ariana
egresos no autorizados,ninas grandes,153.7905544147844,3.331964407939767,huixquilucan,M,ariana
egresos no autorizados,ninas grandes,156.8788501026694,3.783709787816564,toluca,M,ariana
egresos no autorizados,ninas grandes,139.6632443531828,3.964407939767283,toluca,M,ariana
egresos no autorizados,ninas grandes,141.3388090349076,4.369609856262834,toluca,M,ariana
egresos no autorizados,ninas grandes,206.5215605749487,1.820670773442847,cuautitlan izcalli,M,ariana
egresos no autorizados,ninas grandes,204.0246406570842,1.831622176591376,toluca,M,ariana
egresos no autorizados,ninas grandes,140.6817248459959,7.011635865845311,tlanepantla de baz,M,ariana
egresos no autorizados,ninas grandes,188.5831622176592,2.376454483230664,toluca,M,ariana
egresos no autorizados,ninas grandes,174.8501026694045,1.713894592744695,cuautitlan izcalli,M,ariana
egresos no autorizados,ninas grandes,178.3326488706365,1.713894592744695,cuautitlan izcalli,M,ariana
egresos no autorizados,ninas grandes,204.1560574948665,1.711156741957563,cuautitlan izcalli,M,ariana
egresos no autorizados,ninas grandes,165.6509240246407,1.68104038329911,cuautitlan izcalli,M,ariana
egresos no autorizados,ninas grandes,180.1067761806981,1.68104038329911,cuautitlan izcalli,M,ariana
egresos no autorizados,ninas grandes,188.0574948665298,3.066392881587953,toluca,M,ariana
egresos no autorizados,ninas grandes,122.0533880903491,4.648870636550308,tlanepantla de baz,M,ariana
egresos no autorizados,ninas grandes,155.9917864476386,11.84394250513347,toluca,M,ariana
egresos no autorizados,ninas grandes,161.5441478439425,4.167008898015058,tlanepantla de baz,M,ariana
egresos no autorizados,ninas grandes,167.8193018480493,3.832991101984942,toluca,M,ariana
egresos no autorizados,ninas grandes,131.5482546201232,3.619438740588638,toluca,M,ariana
egresos no autorizados,ninas grandes,175.4086242299795,3.832991101984942,toluca,M,ariana
egresos no autorizados,ninas grandes,199.7864476386037,1.267624914442163,toluca,M,ariana
egresos no autorizados,ninas grandes,197.9794661190965,3.849418206707734,toluca,M,ariana
egresos no autorizados,ninas grandes,155.9917864476386,3.849418206707734,toluca,M,ariana
egresos no autorizados,ninas grandes,204.0246406570842,6.16290212183436,toluca,M,ariana
egresos no autorizados,ninas grandes,142.2258726899384,6.16290212183436,toluca,M,ariana
egresos no autorizados,ninas grandes,72.0164271047228,6.16290212183436,toluca,M,ariana
egresos no autorizados,ninas grandes,180.0082135523614,1.71937029431896,toluca,M,ariana
egresos no autorizados,ninas grandes,168.0164271047228,1.908281998631075,toluca,M,ariana
egresos no autorizados,ninas grandes,152.6078028747433,4.41615331964408,toluca,H,ariana
egresos no autorizados,ninas grandes,121.9548254620123,4.421629021218344,toluca,M,ariana
egresos no autorizados,ninas grandes,133.9137577002053,4.783025325119781,toluca,M,ariana
egresos no autorizados,ninas grandes,153.7905544147844,3.331964407939767,toluca,M,ariana
egresos no autorizados,ninas grandes,138.0533880903491,5.319644079397673,toluca,M,ariana
egresos no autorizados,ninas grandes,102.4722792607803,5.730321697467488,toluca,M,ariana
egresos no autorizados,ninas grandes,130.7268993839836,4.399726214921286,toluca,M,ariana
egresos no autorizados,ninas grandes,135.7207392197125,4.090349075975359,toluca,M,ariana
egresos no autorizados,ninas grandes,127.6714579055441,3.247091033538672,toluca,M,ariana
egresos no autorizados,ninas grandes,115.2854209445585,4.167008898015058,tlanepantla de baz,M,ariana
egresos no autorizados,ninas grandes,106.9404517453799,5.117043121149897,toluca,M,ariana
egresos no autorizados,ninas grandes,184.4435318275154,0.9911019849418207,toluca,M,ariana
egresos no autorizados,ninas grandes,207.3757700205339,0.9911019849418207,toluca,M,ariana
egresos no autorizados,ninas grandes,134.570841889117,1.68104038329911,toluca,M,ariana
egresos no autorizados,ninas grandes,172.8788501026694,0.9911019849418207,toluca,M,ariana
egresos no autorizados,ninas grandes,143.3100616016427,3.698836413415469,toluca,M,ariana
egresos no autorizados,ninas grandes,108.7802874743327,3.698836413415469,toluca,M,ariana
egresos no autorizados,ninas grandes,135.7207392197125,4.090349075975359,toluca,M,ariana
egresos no autorizados,ninas grandes,167.9835728952772,3.808350444900753,toluca,M,ariana
egresos no autorizados,ninas grandes,168.0164271047228,1.590691307323751,toluca,M,ariana
egresos no autorizados,ninas grandes,201.4620123203285,0.9911019849418207,toluca,M,ariana
egresos no autorizados,ninas grandes,154.9733059548255,0.9911019849418207,toluca,M,ariana
egresos no autorizados,ninas grandes,144.2956878850103,1.500342231348392,toluca,M,ariana
